net.code, station.code, site.code, code, sampling.frequency
CO, JSC, 00, BHZ, 100
CO, JSC, 00, BHN, 100
CO, JSC, 00, BHE, 100
CO, CASEE, 00, BHZ, 100
CO, CASEE, 00, BHN, 100
CO, CASEE, 00, BHE, 100
CO, HODGE, 00, BHZ, 100
CO, HODGE, 00, BHN, 100
CO, HODGE, 00, BHE, 100
CO, BIRD, 00, BHZ, 100
CO, BIRD, 00, BHN, 100
CO, BIRD, 00, BHE, 100
CO, PAULI, 00, BHZ, 100
CO, PAULI, 00, BHN, 100
CO, PAULI, 00, BHE, 100
CO, HAW, 00, BHZ, 100
CO, HAW, 00, BHN, 100
CO, HAW, 00, BHE, 100
CO, RGR, 00, EHZ, 100
CO, RGR, 00, EHN, 100
CO, RGR, 00, EHE, 100
CO, CSB, 00, EHZ, 100
CO, CSB, 00, EHN, 100
CO, CSB, 00, EHE, 100
