time, latitude, longitude, depth, depthUnits, magnitude, magnitudeType, catalog, contributor, name, flinnEngdahlRegion, flinnEngdahlRegionType
2003-01-04T05:15:03.840Z, -20.57, -177.661, 378.0, kiloMETER, 6.0, MB, MHDF, NEIC, 11798956, 181, 1
2003-01-06T23:43:50.840Z, 15.651, 119.658, 10.0, kiloMETER, 5.5, MB, MHDF, NEIC, 11799109, 249, 1
2003-01-07T00:54:51.560Z, -33.765, -70.054, 110.80000305175781, kiloMETER, 6.0, MB, MHDF, NEIC, 11799111, 127, 1
2003-01-09T02:50:45.790Z, -19.664, -176.295, 10.0, kiloMETER, 5.4, MB, MHDF, NEIC, 11799225, 181, 1
2003-01-10T13:11:56.910Z, -5.311, 153.701, 71.9000015258789, kiloMETER, 5.9, MB, MHDF, NEIC, 11799292, 190, 1
2003-01-16T00:53:15.720Z, 44.284, -129.024, 10.0, kiloMETER, 5.4, MB, MHDF, NEIC, 11799565, 30, 1
2003-01-20T08:43:06.070Z, -10.491, 160.77, 33.0, kiloMETER, 6.7, MB, MHDF, NEIC, 11799855, 193, 1
2003-01-21T02:46:47.740Z, 13.626, -90.774, 24.0, kiloMETER, 5.5, MB, MHDF, NEIC, 11799901, 71, 1
2003-01-22T02:06:31.000Z, 18.73, -103.84, 10.0, kiloMETER, 7.8, M, FINGER, NEIC, 9506999, 56, 1
2003-01-27T05:26:22.700Z, 39.482, 39.7807, 10.0, kiloMETER, 6.0, MO, NEICALRT, NEIC, 9512478, 366, 1
2003-01-27T17:56:24.800Z, -45.9703, 34.9192, 10.0, kiloMETER, 6.2, MS, NEICALRT, NEIC, 9512519, 431, 1
